"MaximumInscribedSphereRadius","TCoords:0","TCoords:1","Curvature","Torsion","FrenetTangent:0","FrenetTangent:1","FrenetTangent:2","FrenetNormal:0","FrenetNormal:1","FrenetNormal:2","FrenetBinormal:0","FrenetBinormal:1","FrenetBinormal:2","Points:0","Points:1","Points:2"
2.4437,0.77181,0,0.046593,4.7795,0.2269,-0.073435,-0.97115,0.63719,0.76532,0.091002,0.73655,-0.63945,0.22044,-9.7946,-71.369,-561.2
2.4404,0.77852,0,0.055569,3.3638,0.23531,-0.070061,-0.96939,0.97043,-0.038298,0.23833,-0.053823,-0.99681,0.058977,-9.7483,-71.383,-561.39
2.437,0.78523,0,0.093029,1.1053,0.24875,-0.074422,-0.9657,0.85869,-0.4443,0.25543,-0.44807,-0.89278,-0.046616,-9.6999,-71.397,-561.59
2.4336,0.79195,0,0.12484,0.26573,0.26651,-0.085694,-0.96002,0.77756,-0.56946,0.26669,-0.56954,-0.81754,-0.085132,-9.6484,-71.413,-561.78
2.4332,0.79866,0,0.097741,-0.12479,0.2838,-0.098331,-0.95383,0.77396,-0.56375,0.2884,-0.56608,-0.82007,-0.083887,-9.5932,-71.432,-561.97
2.4329,0.80537,0,0.05122,-0.83811,0.29553,-0.10636,-0.94939,0.81467,-0.491,0.3086,-0.49897,-0.86465,-0.058459,-9.5349,-71.452,-562.16
2.4327,0.81208,0,0.010768,-19.701,0.30064,-0.10839,-0.94756,0.86782,0.44319,0.22465,0.3956,-0.88985,0.22731,-9.4749,-71.474,-562.35
2.4324,0.81879,0,0.043223,-1.2495,0.29921,-0.10445,-0.94845,-0.54382,0.79809,-0.25945,0.78405,0.59342,0.182,-9.4144,-71.496,-562.54
2.4322,0.8255,0,0.088667,-0.25742,0.29111,-0.094546,-0.95201,-0.64161,0.71884,-0.26759,0.70964,0.68872,0.1486,-9.3547,-71.516,-562.73
2.4319,0.83221,0,0.11848,-0.1613,0.27733,-0.079732,-0.95746,-0.66998,0.69823,-0.25221,0.68863,0.71142,0.14022,-9.297,-71.534,-562.93
2.4397,0.83893,0,0.095796,-0.31208,0.26238,-0.064911,-0.96278,-0.71023,0.66244,-0.23822,0.65325,0.7463,0.12771,-9.2422,-71.549,-563.12
2.4477,0.84564,0,0.060901,-0.81639,0.25068,-0.054852,-0.96652,-0.77606,0.58544,-0.23451,0.5787,0.80886,0.10419,-9.1903,-71.56,-563.32
2.4556,0.85235,0,0.028651,-3.9796,0.24318,-0.050522,-0.96866,-0.93723,0.24508,-0.24807,0.24993,0.96819,0.012246,-9.1405,-71.571,-563.51
2.4636,0.85906,0,0.023365,-6.1427,0.23982,-0.052016,-0.96942,-0.2778,-0.96049,-0.017189,-0.93022,0.27343,-0.2448,-9.0924,-71.581,-563.71
2.4716,0.86577,0,0.054146,-0.27957,0.24046,-0.059256,-0.96885,0.24692,-0.96156,0.1201,-0.93873,-0.26811,-0.21659,-9.0454,-71.591,-563.9
2.4821,0.87248,0,0.055498,1.1594,0.24249,-0.069566,-0.96766,0.13588,-0.98516,0.10488,-0.96059,-0.15691,-0.22944,-8.999,-71.604,-564.08
2.4935,0.87919,0,0.039987,3.2866,0.24196,-0.078461,-0.96711,-0.3238,-0.94612,-0.0042546,-0.91466,0.31418,-0.25433,-8.9528,-71.618,-564.27
2.505,0.88591,0,0.036776,3.3574,0.23757,-0.083851,-0.96774,-0.85717,-0.48678,-0.16825,-0.45697,0.86949,-0.18752,-8.9063,-71.634,-564.45
2.5164,0.89262,0,0.044688,1.658,0.22991,-0.0856,-0.96944,-0.97309,-0.0043966,-0.23039,0.015459,0.99632,-0.084307,-8.8593,-71.651,-564.65
2.5278,0.89933,0,0.051698,0.679,0.21997,-0.084176,-0.97187,-0.94121,0.24355,-0.23412,0.25641,0.96623,-0.025653,-8.8113,-71.669,-564.85
2.5342,0.90604,0,0.046102,0.22787,0.2096,-0.080925,-0.97443,-0.9145,0.33648,-0.22465,0.34606,0.93821,-0.0034794,-8.7621,-71.688,-565.08
2.5342,0.91275,0,0.033593,-0.0011717,0.20078,-0.077676,-0.97655,-0.91631,0.33769,-0.21525,0.34649,0.93805,-0.0033754,-8.7116,-71.708,-565.32
2.5342,0.91946,0,0.025403,0.0062572,0.19387,-0.075138,-0.97815,-0.91837,0.33673,-0.20789,0.34499,0.9386,-0.0037225,-8.6606,-71.727,-565.57
2.5342,0.92617,0,0.020009,0.0055362,0.18838,-0.073105,-0.97937,-0.9171,0.34367,-0.20206,0.35135,0.93624,-0.0023032,-8.6097,-71.747,-565.83
2.5342,0.93289,0,0.016714,-0.010332,0.18388,-0.071436,-0.98035,-0.92044,0.33747,-0.19724,0.34493,0.93862,-0.0036971,-8.5597,-71.767,-566.1
2.5342,0.9396,0,0.014291,0.0016609,0.18011,-0.070045,-0.98115,-0.92004,0.34087,-0.19322,0.34797,0.9375,-0.0030517,-8.5112,-71.785,-566.36
2.5342,0.94631,0,0.012398,0.0031775,0.17694,-0.068876,-0.98181,-0.92185,0.33787,-0.18984,0.34479,0.93867,-0.0037124,-8.4649,-71.803,-566.61
2.5342,0.95302,0,0.01149,0.0054961,0.17424,-0.067877,-0.98236,-0.92027,0.34372,-0.18697,0.35035,0.93661,-0.0025765,-8.4214,-71.82,-566.85
2.5342,0.95973,0,0.010811,0.011182,0.17189,-0.067005,-0.98284,-0.92215,0.34003,-0.18446,0.34655,0.93803,-0.0033424,-8.3816,-71.836,-567.08
2.5342,0.96644,0,0.011007,-0.054083,0.16982,-0.066233,-0.98325,-0.91933,0.34873,-0.18227,0.35496,0.93488,-0.0016694,-8.346,-71.85,-567.29
2.5342,0.97315,0,0.010461,0.075872,0.16803,-0.065582,-0.9836,-0.93043,0.3191,-0.18023,0.32568,0.94545,-0.0074005,-8.3153,-71.862,-567.47
2.5342,0.97987,0,0.013437,-0.1529,0.16645,-0.065004,-0.9839,-0.91493,0.3619,-0.1787,0.36769,0.92995,0.00076594,-8.2902,-71.872,-567.61
2.5342,0.98658,0,0.014559,1.251,0.16504,-0.064485,-0.98418,-0.93862,0.29619,-0.17681,0.3029,0.95295,-0.011643,-8.2715,-71.879,-567.72
2.5342,0.99329,0,0.026043,0,0.16399,-0.064095,-0.98438,-0.87588,0.44961,-0.17519,0.45381,0.89092,0.017591,-8.2598,-71.883,-567.79
2.5342,1,0,0,0,0.16399,-0.064095,-0.98438,-0.87588,0.44961,-0.17519,0.45381,0.89092,0.017591,-8.2557,-71.885,-567.82
2.5342,0,0,0,0,-0.64508,0.049533,-0.76251,0.76411,0.039318,-0.64389,-0.0019131,-0.998,-0.063212,-8.2557,-71.885,-567.82
2.4951,0.0064516,0,0.19312,0,-0.64508,0.049533,-0.76251,0.76411,0.039318,-0.64389,-0.0019131,-0.998,-0.063212,-8.2728,-71.884,-567.84
